,itemLabel,pubmedid,year,eupcm_citations
366,Ecology: Shared ancestry predicts disease levels.,25903624,2008.5,1
367,Ecology: Tasteless pesticides affect bees in the field.,25901679,2014.0,6
368,Economics: Account for soil as natural capital.,26560292,2015.0,1
369,Economics: Higher costs of climate change.,26503044,2014.0,2
370,Effects of electron correlations on transport properties of iron at Earth's core conditions,25631449,2007.0,7
371,El Niño and intense tropical cyclones.,26511582,2009.0,0
372,Electron cryomicroscopy observation of rotational states in a eukaryotic V-ATPase,25971514,2010.0,87
373,Emissions limits: Green heating plan threatens air quality.,25557704,2014.0,0
374,Emotional learning selectively and retroactively strengthens memories for related events.,25607357,2009.0,57
375,Encoding of action by the Purkinje cells of the cerebellum.,26469054,2008.0,63
376,Endoperoxide formation by an α-ketoglutarate-dependent mononuclear non-haem iron enzyme,26524521,2006.0,21
377,Endosymbiotic origin and differential loss of eukaryotic genes.,26287458,2008.0,107
378,Energetic coupling between plastids and mitochondria drives CO2 assimilation in diatoms.,26168400,2007.5,65
379,Engineered CRISPR-Cas9 nucleases with altered PAM specificities,26098369,2013.0,435
380,Entertainment: Bond villain fails neuroanatomy.,26701045,2012.0,0
381,Entomology: The bee-all and end-all.,25992674,2014.0,2
382,Environment: Deforestation soars in the Amazon.,26017432,2015.0,3
383,Environment: Labs should cut plastic waste too.,26701046,2013.0,2
384,Environment: Polluters migrate to China's poor areas.,25719657,2014.0,1
385,Eocene primates of South America and the African origins of New World monkeys,25652825,2011.0,30
386,Epicardial FSTL1 reconstitution regenerates the adult mammalian heart.,26375005,2010.0,126
387,Epicardial regeneration is guided by cardiac outflow tract and Hedgehog signalling.,25938716,2009.0,64
388,Epigenetic silencing of TH1-type chemokines shapes tumour immunity and immunotherapy,26503055,2012.0,188
389,Epigenetics: The genome unwrapped.,26630592,2015.0,7
390,Epigenomics: Roadmap for regulation.,25693562,2014.5,77
391,Episodic molecular outflow in the very young protostellar cluster Serpens South.,26536957,2006.0,0
392,Epithelial-to-mesenchymal transition is dispensable for metastasis but induces chemoresistance in pancreatic cancer.,26560028,2010.0,606
393,Epithelial-to-mesenchymal transition is not required for lung metastasis but contributes to chemoresistance,26560033,2009.0,567
394,Epochs: Disputed start dates for Anthropocene.,25903617,2015.0,0
395,Epoxyeicosatrienoic acids enhance embryonic haematopoiesis and adult marrow engraftment.,26201599,2010.0,45
396,Eric H. Davidson (1937-2015).,26450050,1969.0,2
397,Erosion of organic carbon in the Arctic as a geological carbon dioxide sink.,26245581,2011.0,4
398,Erratum: Corrigendum: A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,26633630,2011.0,2
399,Erratum: Corrigendum: Biocontainment of genetically modified organisms by synthetic protein design,26416745,2015.0,2
400,Erratum: Corrigendum: Bipolar seesaw control on last interglacial sea level,26258306,2015.0,0
401,Erratum: Corrigendum: Divergent reprogramming routes lead to alternative stem-cell states,26083751,2014.0,1
402,Erratum: Corrigendum: Endocrinization of FGF1 produces a neomorphic and potent insulin sensitizer,25739500,2014.0,0
403,Erratum: Corrigendum: Genome-wide characterization of the routes to pluripotency,26083747,2014.0,1
404,Erratum: Corrigendum: Lanosterol reverses protein aggregation in cataracts,26308894,2015.0,0
405,Erratum: Corrigendum: Passenger deletions generate therapeutic vulnerabilities in cancer,26153864,2012.0,0
406,Erratum: Corrigendum: Whole–genome characterization of chemoresistant ovarian cancer,26503049,2015.0,2
407,Erratum: Corrigendum: Wild-type microglia do not reverse pathology in mouse models of Rett syndrome,26176914,2015.0,0
408,Erratum: Differential responses to lithium in hyperexcitable neurons from patients with bipolar disorder,26605530,2015.0,3
409,Erratum: Genetic diversity and evolutionary dynamics of Ebola virus in Sierra Leone.,26308898,2015.0,2
410,Erratum: Mutant MHC class II epitopes drive therapeutic immune responses to cancer,26040715,2015.0,3
411,Europe: Lifelong learning for all in biomedicine.,26310756,2015.0,1
412,Evaluating the impact of pulse oximetry on childhood pneumonia mortality in resource-poor settings.,26633766,2012.0,18
413,Evaporation: Evaluate risks of coating reservoirs.,25832397,2015.0,1
414,Evidence for human transmission of amyloid-β pathology and cerebral amyloid angiopathy,26354483,2008.0,141
415,Evolution of Darwin's finches and their beaks revealed by genome sequencing.,25686609,2009.0,229
416,Evolution of endemism on a young tropical mountain.,26266979,2012.0,48
417,Evolution of vertebrates as viewed from the crest,25903629,2009.0,55
418,Evolution: Beauty varies with the light.,25951278,1999.0,4
419,Evolution: Finches sequenced.,25693558,2015.0,0
420,Evolution: Fitness tracking for adapting populations.,25731163,2013.0,0
421,Evolution: Gene transfer in complex cells.,26287464,2013.0,3
422,Evolution: On the crest of becoming vertebrate.,26524522,2009.0,2
423,Evolutionary biology: Infection elevates diversity.,26399826,2003.0,1
424,Evolutionary biology: The origin of terrestrial hearing.,25762279,2006.0,4
425,Evolutionary origin of the turtle skull.,26331544,2011.0,20
426,Exceptional preservation of tiny embryos documents seed dormancy in early angiosperms.,26675723,2004.0,5
427,Exit from dormancy provokes DNA-damage-induced attrition in haematopoietic stem cells.,25707806,2008.0,186
428,Expanding the role of diagnostic and prognostic tools for infectious diseases in resource-poor settings.,26633765,2014.0,7
429,Experimental constraints on the electrical anisotropy of the lithosphere-asthenosphere system.,26062512,2010.0,1
430,Exploring the repeat protein universe through computational protein design,26675729,2010.0,48
431,Explosive lithium production in the classical nova V339 Del (Nova Delphini 2013).,25693569,2005.0,2
432,Extended hard-X-ray emission in the inner few parsecs of the Galaxy.,25925477,2011.0,2
433,Extra adsorption and adsorbate superlattice formation in metal-organic frameworks.,26550825,2010.0,28
434,Extreme ultraviolet high-harmonic spectroscopy of solids.,26017451,2006.0,46
435,Extremely metal-poor stars from the cosmic dawn in the bulge of the Milky Way.,26560034,2010.0,1
436,Eye-like ocelloids are built from different endosymbiotically acquired components,26131935,2009.0,24
437,FGF signalling regulates bone growth through autophagy.,26595272,2008.0,47
438,Facts and fancies about early fossil chordates and vertebrates.,25903630,2005.0,13
439,Failure to replicate the STAP cell phenomenon.,26399835,2007.0,18
440,Fast-moving features in the debris disk around AU Microscopii.,26450055,2005.0,2
441,Fatty acid carbon is essential for dNTP synthesis in endothelial cells,25830893,2010.0,145
442,Ferroptosis as a p53-mediated activity during tumour suppression,25799988,2011.0,236
443,Fisheries: Better policing for fishy catch data.,25925469,2015.0,0
444,Flat transistor defies the limit,26432242,2011.0,0
445,Flows of X-ray gas reveal the disruption of a star by a massive black hole.,26490619,2006.0,3
446,Fluid dynamics: Turbulence spreads like wildfire.,26490612,1983.5,0
447,Folding of an intrinsically disordered protein by phosphorylation as a regulatory switch,25533957,2009.0,143
448,Food production: Cut food waste to help feed world.,26310755,2014.0,0
449,Force generation by skeletal muscle is controlled by mechanosensing in myosin filaments.,26560032,2006.0,57
450,"Forcing, feedback and internal variability in global temperature trends.",25631444,2013.0,9
451,Foreign DNA capture during CRISPR-Cas adaptive immunity.,26503043,2011.0,58
452,Forests: Not just timber plantations.,25951273,2010.5,0
453,Forests: See the trees and the wood.,25951276,2010.5,0
454,Forests: Tree rings track climate trade-offs.,26223617,2014.5,2
455,Forniceal deep brain stimulation rescues hippocampal memory in Rett syndrome mice,26469053,2007.0,46
456,Fossil fuels: Star academics in favour of divestment.,26085260,2015.0,0
457,Four-electron deoxygenative reductive coupling of carbon monoxide at a single metal site.,26689364,2011.0,16
458,Four-wave mixing experiments with extreme ultraviolet transient gratings.,25855456,2013.0,28
459,From circuits to behaviour in the amygdala.,25592533,2007.0,309
460,Functional organization of excitatory synaptic strength in primary visual cortex,25652823,2010.0,134
461,Functional overlap of the Arabidopsis leaf and root microbiota.,26633631,2012.0,166
462,Fundamental properties of unperturbed haematopoiesis from stem cells in vivo.,25686605,2002.0,209
463,Fungal pathogen uses sex pheromone receptor for chemotropic sensing of host plant signals.,26503056,2008.0,29
464,G-protein-independent coupling of MC4R to Kir7.1 in hypothalamic neurons.,25600267,2005.0,60
465,GGGGCC repeat expansion in C9orf72 compromises nucleocytoplasmic transport.,26308899,2012.0,247
466,Gain-of-function p53 mutants co-opt chromatin pathways to drive cancer growth.,26331536,2012.0,139
467,Galaxies at redshifts 5 to 6 with systematically low dust content and high [C II] emission.,26108853,2013.0,9
468,Galaxy formation: When the wind blows.,25810203,2014.0,0
469,Gating machinery of InsP3R channels revealed by electron cryomicroscopy,26458101,2009.0,73
470,Gene editing: Govern ability expectations.,26607532,2015.0,0
471,Gene editing: Heed disability views.,26607537,2015.0,2
472,Genetic and epigenetic fine mapping of causal autoimmune disease variants,25363779,2012.0,530
473,Genetic diversity and evolutionary dynamics of Ebola virus in Sierra Leone.,25970247,2011.0,80
474,Genetic evidence for two founding populations of the Americas,26196601,2010.0,58
475,Genetic modification of the diarrhoeal pathogen Cryptosporidium parvum.,26176919,2009.0,81
476,Genetic predisposition to neuroblastoma mediated by a LMO1 super-enhancer polymorphism.,26560027,2012.0,103
477,Genetic studies of body mass index yield new insights for obesity biology,25673413,2012.0,1152
478,Genetics of disease: Associations with depression.,26176922,2013.5,8
479,Genetics: Big hopes for big data.,26580158,2013.5,10
480,Genetics: Feedforward loop for diversity,26176917,2013.0,5
481,Genetics: Fluent in DNA.,26443869,2015.0,1
482,Genetics: Location affects sporulation.,26287460,2009.0,2
483,Genetics: No more addictive personality.,26107094,2008.5,3
484,Genetics: Relative risk,26580161,2011.0,1
485,Genome-wide detection of DNase I hypersensitive sites in single cells and FFPE tissue samples.,26605532,2011.0,93
486,Genome-wide identification of zero nucleotide recursive splicing in Drosophila.,25970244,2009.0,43
487,Genome-wide patterns of selection in 230 ancient Eurasians.,26595274,2011.0,239
488,Genomic profiling of DNA methyltransferases reveals a role for DNMT3B in genic methylation.,25607372,2011.0,184
489,Genomics: Acorn worms in a nutshell.,26580019,2013.0,0
490,Genomics: Bird sequencing project takes off.,26040883,2014.0,24
491,Genomics: CRISPR engineering turns on genes.,25631441,2013.5,0
492,Geochemistry: When carbon escaped from the sea.,25673410,2007.0,1
493,Germline edits: Trust ethics review process,25925471,2015.0,1
494,Germline variant FGFR4  p.G388R exposes a membrane-proximal STAT3 binding site.,26675719,2010.0,15
495,Glia-derived neurons are required for sex-specific learning in C. elegans.,26469050,2008.0,31
496,Global carbon export from the terrestrial biosphere controlled by erosion.,25971513,2009.0,18
497,Global circulation patterns of seasonal influenza viruses vary with antigenic drift.,26053121,2009.0,114
498,Global effects of land use on local terrestrial biodiversity.,25832402,2010.0,232
499,Global exchange and accumulation of non-native plants.,26287466,2010.0,87
500,Global genetic analysis in mice unveils central role for cilia in congenital heart disease,25807483,2007.0,127
501,Global non-linear effect of temperature on economic production.,26503051,2010.5,37
502,Global research challenges and opportunities for mental health and substance-use disorders.,26580324,2011.0,24
503,Global research priorities for infections that affect the nervous system.,26580325,2011.0,38
504,Global separation of plant transpiration from groundwater and streamflow.,26333467,2008.0,23
505,Global warming: Growing feedback from ocean carbon to climate.,26085267,2013.0,0
506,Global-scale coherence modulation of radiation-belt electron loss from plasmaspheric hiss.,26123022,2013.0,1
507,Glutathione activates virulence gene expression of an intracellular pathogen.,25567281,2003.0,79
508,Glycine receptor mechanism elucidated by electron cryo-microscopy.,26344198,2010.0,126
509,Glypican-1 identifies cancer exosomes and detects early pancreatic cancer.,26106858,2009.5,595
510,Graphene kirigami.,26222025,2009.5,74
511,Graphics: scrap rainbow colour scales.,25788088,2011.0,0
512,Greenland supraglacial lake drainages triggered by hydrologically induced basal slip.,26040890,2011.5,4
513,Grid cell symmetry is shaped by environmental geometry.,25673417,2008.0,83
514,Growing the gas-giant planets by the gradual accumulation of pebbles.,26289203,2003.0,9
515,Growth and host interaction of mouse segmented filamentous bacteria in vitro.,25600271,2010.0,44
516,Growth and splitting of neural sequences in songbird vocal development,26618871,2009.0,28
517,HDL-bound sphingosine-1-phosphate restrains lymphopoiesis and neuroinflammation.,26053123,2009.0,58
518,HIF-driven SF3B1 induces KHK-C to enforce fructolysis and heart disease.,26083752,2009.0,50
519,HIV-1 Nef promotes infection by excluding SERINC5 from virion incorporation,26416734,2002.0,113
520,HIV: Antiviral action countered by Nef.,26416750,2006.5,4
521,HIV: Cure by killing.,26633623,2014.0,1
522,HIV: Seeking ultimate victory.,25561174,2013.0,1
523,HIV: tied down by its own receptor.,25707798,2010.0,0
524,Hallucigenia's head and the pharyngeal armature of early ecdysozoans.,26106857,2010.0,18
525,"Health-seeking behaviour, diagnostics and transmission dynamics in the control of visceral leishmaniasis in the Indian subcontinent.",26633763,2013.0,24
526,Hedgehog actively maintains adult lung quiescence and regulates repair and regeneration,26436454,2007.0,52
527,Hemichordate genomes and deuterostome origins,26580012,2009.0,51
528,Herbaria: Plant collections find strength in numbers.,26245570,2015.0,0
529,High-precision comparison of the antiproton-to-proton charge-to-mass ratio.,26268189,2011.0,15
530,Higher education: Star universities in the Muslim world.,26632580,2015.0,0
531,Highly efficient star formation in NGC 5253 possibly from stream-fed accretion.,25788096,2004.5,1
532,HipBA-promoter structures reveal the basis of heritable multidrug tolerance,26222023,2009.0,51
533,Hippocampal-prefrontal input supports spatial encoding in working memory,26053122,2008.0,139
534,Histone H1 couples initiation and amplification of ubiquitin signalling after DNA damage.,26503038,2009.0,131
535,Histone H3.3 is required for endogenous retroviral element silencing in embryonic stem cells.,25938714,2010.0,103
536,Holocene shifts in the assembly of plant and animal communities implicate human impacts.,26675730,2009.0,21
537,Homologous-recombination-deficient tumours are dependent on Polθ-mediated repair,25642963,2010.0,175
538,Hong-Ou-Mandel interference of two phonons in trapped ions.,26536958,2007.0,7
539,Horizontal membrane-intrinsic α-helices in the stator a-subunit of an F-type ATP synthase.,25707805,2008.0,96
540,Human Genome Project: Twenty-five years of big biology,26432225,2014.0,38
541,Human body epigenome maps reveal noncanonical DNA methylation variation.,26030523,2011.5,196
542,Human evolution: ancient DNA steps into the language debate.,26062506,2014.0,2
543,Human gut Bacteroidetes can utilize yeast mannan through a selfish mechanism,25567280,2010.0,118
544,Human papilloma virus: Restore vaccine trust in Japan.,26469030,2014.0,3
545,Hybrid quantum logic and a test of Bell's inequality using two different atomic isotopes.,26672554,2005.0,11
546,Hydrogens detected by subatomic resolution protein crystallography in a [NiFe] hydrogenase,25624102,2010.0,57
547,Hydrology: The diversified economics of soil water.,26333464,2013.0,1
548,Hypothalamic POMC neurons promote cannabinoid-induced feeding.,25707796,2008.0,118
549,Hypoxia fate mapping identifies cycling cardiomyocytes in the adult heart.,26098368,2010.0,92
550,IL-17-producing γδ T cells and neutrophils conspire to promote breast cancer metastasis.,25822788,2011.0,303
551,IPCC: calling social scientists of all kinds.,25971503,2015.0,0
552,IPCC: social scientists are ready.,25971500,2015.0,0
553,Icebergs not the trigger for North Atlantic cold events.,25877202,2009.0,18
554,Identification of a mast-cell-specific receptor crucial for pseudo-allergic drug reactions,25517090,2005.0,182
555,Identification of carbohydrate anomers using ion mobility-mass spectrometry.,26416727,2009.0,65
556,Identification of cis-suppression of human disease mutations by comparative genomics.,26123021,2012.0,36
557,Imaging techniques: Extra dimension for bone analysis.,26581285,2014.0,2
558,Imaging techniques: Super-resolution ultrasound.,26607538,2013.5,1
559,Immune homeostasis enforced by co-localized effector and regulatory T cells,26605524,2010.0,82
560,Immunology: Chronic effects of acute infections.,26490613,2011.5,0
561,Immunology: In the right place at the right time.,26605531,2014.0,1
562,Immunology: Stillbirth prevented by signal blockade.,25925473,2012.0,1
563,Immunosuppressive plasma cells impede T-cell-dependent immunogenic chemotherapy.,25924065,2008.5,122
564,Impermanence of dendritic spines in live adult CA1 hippocampus.,26098371,2005.0,78
565,Improving survival by exploiting tumour dependence on stabilized mutant p53 for treatment,26009011,2011.0,103
566,In retrospect: A century of phage lessons.,26632584,2002.0,11
567,In situ low-relief landscape formation as a result of river network disruption.,25903633,2005.0,7
568,In situ structural analysis of the human nuclear pore complex,26416747,2010.0,95
569,In situ structures of the segmented genome and RNA polymerase complex inside a dsRNA virus,26503045,2004.0,33
570,In vivo genome editing using Staphylococcus aureus Cas9,25830891,2012.0,711
571,Increases in tropical rainfall driven by changes in frequency of organized deep convection.,25810207,2010.0,10
572,India: Assess social impact of technology.,26108841,2014.5,1
573,Inequality and visibility of wealth in experimental social networks.,26352469,2011.5,29
574,Influence maximization in complex networks through optimal percolation.,26131931,2001.5,86
575,Inhibition of Gli1 mobilizes endogenous neural stem cells for remyelination.,26416758,2007.0,49
576,Inhomogeneity of charge-density-wave order and quenched disorder in a high-Tc superconductor.,26381983,2013.0,21
577,Initiation of translation in bacteria by a structured eukaryotic IRES RNA,25652826,2005.0,22
578,Inorganic chemistry: Movies of a growth mechanism.,26223619,2014.0,1
579,Institutions: Funders must not coerce scientists.,26289199,2010.0,0
580,Insulator dysfunction and oncogene activation in IDH mutant gliomas.,26700815,2012.0,268
581,Integrase-mediated spacer acquisition during CRISPR-Cas adaptive immunity.,25707795,2009.0,124
582,Integrative analysis of 111 reference human epigenomes,25693563,2010.0,1640
583,Integrative analysis of haplotype-resolved epigenomes across human tissues.,25693566,2013.0,83
584,Integrator mediates the biogenesis of enhancer RNAs.,26308897,2012.0,59
585,Intensification and spatial homogenization of coastal upwelling under climate change.,25693571,2008.0,29
586,Interaction and signalling between a cosmopolitan phytoplankton and associated bacteria.,26017307,2010.0,175
587,Intercellular wiring enables electron transfer between methanotrophic archaea and bacteria.,26490622,2009.0,95
588,Interdisciplinarity: Less vague please.,26490607,2015.0,0
589,Interdisciplinarity: Two more principles.,26469034,2015.0,0
590,Interleukin-22 promotes intestinal-stem-cell-mediated epithelial regeneration,26649819,2012.0,219
591,International policy: Bury the idea that soils are a local issue.,26701042,2015.0,0
592,Intersecting transcription networks constrain gene regulatory evolution,26153861,2007.0,25
593,Intrinsic retroviral reactivation in human preimplantation embryos and pluripotent cells.,25896322,2012.0,134
594,Ion channels enable electrical communication in bacterial communities.,26503040,2005.0,102
595,Ir40a neurons are not DEET detectors.,27337300,2013.0,11
596,Isotopic evidence for biological nitrogen fixation by molybdenum-nitrogenase from 3.2 Gyr.,25686600,2010.0,38
597,John Forbes Nash (1928-2015).,26108846,1950.0,0
598,Kinetochore-localized PP1-Sds22 couples chromosome segregation to polar relaxation.,26168397,2010.0,33
599,Lab training: Undergraduate research in action.,25762271,2015.0,0
600,Labelling and optical erasure of synaptic memory traces in the motor cortex.,26352471,2010.0,139
601,Laboratory confirmation of C60(+) as the carrier of two diffuse interstellar bands.,26178962,1995.0,47
602,Lagging-strand replication shapes the mutational landscape of the genome,25624100,2011.0,77
603,Large heterogeneities in comet 67P as revealed by active pits from sinkhole collapse.,26135448,2007.0,7
604,Learning from nature's best.,25806495,2008.5,5
605,Lenalidomide induces ubiquitination and degradation of CK1α in del(5q) MDS.,26131937,2012.0,153
606,Levantine cranium from Manot Cave (Israel) foreshadows the first European modern humans.,25629628,2009.0,28
607,Ligand-enabled meta-C-H activation using a transient mediator.,25754328,2012.0,105
608,Lineage correlations of single cell division time as a probe of cell-cycle dynamics.,25762143,2003.0,50
609,Linking high harmonics from gases and solids.,26108855,2010.0,54
610,Lipid nanoparticle siRNA treatment of Ebola-virus-Makona-infected nonhuman primates.,25901685,2013.0,91
611,Liquid-based gating mechanism with tunable multiphase selectivity and antifouling behaviour.,25739629,2011.0,53
612,Lithospheric controls on magma composition along Earth's longest continental hotspot track.,26367795,2009.0,0
613,Live imaging RNAi screen reveals genes essential for meiosis in mammalian oocytes.,26147080,2009.0,27
614,Long-lived magnetism from solidification-driven convection on the pallasite parent body.,25612050,2009.0,5
615,Long-range energy transport in single supramolecular nanofibres at room temperature.,26156373,2011.5,45
616,Long-term decline of the Amazon carbon sink.,25788097,2010.0,114
617,Longevity: Mapping the path to a longer life,26268188,2011.0,1
618,Loss of Karma transposon methylation underlies the mantled somaclonal variant of oil palm.,26352475,2007.0,78
619,Loss of δ-catenin function in severe autism,25807484,2008.0,60
620,Lunar tungsten isotopic evidence for the late veneer.,25855296,2010.0,11
621,Lymphatic vessels arise from specialized angioblasts within a venous niche.,25992545,2008.5,63
622,MAD2L2 controls DNA repair at telomeres and DNA breaks by inhibiting 5' end resection,25799990,2011.0,92
623,MAGI3–AKT3 fusion in breast cancer amended,25877206,2011.0,7
624,MAP4K4 regulates integrin-FERM binding to control endothelial cell motility.,25799996,2007.0,38
625,MET is required for the recruitment of anti-tumoural neutrophils,25985180,2009.0,87
626,MYC regulates the core pre-mRNA splicing machinery as an essential step in lymphomagenesis.,25970242,2010.0,85
627,Magnetospherically driven optical and radio aurorae at the end of the stellar main sequence.,26223623,2006.5,1
628,Malaria: Fifteen years of interventions.,26450051,2013.0,9
629,Malaria: a master lock for deadly parasites.,26062503,2010.0,5
630,Mammalian polymerase θ promotes alternative NHEJ and suppresses recombination,25642960,2010.0,154
631,Managing nitrogen for sustainable development.,26595273,2012.0,65
632,Mapping tree density at a global scale.,26331545,2011.5,51
633,Masculinity: Men's makeover.,26444368,2014.0,0
634,Massive migration from the steppe was a source for Indo-European languages in Europe,25731166,2012.5,276
635,Materials science: Composite for energy storage takes the heat.,26223620,2010.5,1
636,"Materials science: Like cartilage, but simpler.",25557709,2008.0,0
637,Materials science: Magnetic alloys break the rules.,25993957,2012.5,0
638,Materials science: Round the bend with microwaves.,26040714,2011.0,0
639,Mathematics: Logic and Lewis Carroll.,26581277,1887.0,0
640,Measurement of interaction between antiprotons.,26536116,2003.0,1
641,"Measurement of the first ionization potential of lawrencium, element 103.",25855457,2002.5,16
642,Measurement-based control of a mechanical oscillator at its thermal decoherence rate.,26258303,2011.0,23
643,Mechanical induction of the tumorigenic β-catenin pathway by tumour growth pressure.,25970250,2008.0,76
644,Mechanism of phospho-ubiquitin-induced PARKIN activation.,26161729,2013.0,119
645,Mechanistic insights into the recycling machine of the SNARE complex.,25581794,2005.0,101
646,Mediator kinase inhibition further activates super-enhancer-associated genes in AML,26416749,2010.0,93
647,Medical marijuana: Showdown at the cannabis corral.,26398734,2013.0,1
648,Medicine: Expanding possibilities.,26630591,2014.0,1
649,Medicine: Eyes on the target.,26580159,2012.0,4
650,Meikin is a conserved regulator of meiosis-I-specific kinetochore function,25533956,2008.0,50
651,Mental health: Monsters in the mirror.,26444369,2013.0,0
652,Metabolic co-dependence gives rise to collective oscillations within biofilms.,26200335,2008.0,93
653,Metabolic coupling of two small-molecule thiols programs the biosynthesis of lincomycin A.,25607359,2009.0,41
654,Metabolic rescue in pluripotent cells from patients with mtDNA disease.,26176921,2012.0,65
655,Metabolism: Inflammation keeps old mice healthy.,26580010,2014.0,2
656,Metal-catalysed azidation of tertiary C-H bonds suitable for late-stage functionalization,25631448,2011.0,68
657,Metastasis: Resistance fighters.,26672785,2015.0,4
658,Methane storage in flexible metal-organic frameworks with intrinsic thermal management.,26503057,2009.0,114
659,Michelson-Morley analogue for electrons using trapped ions to test Lorentz symmetry.,25631446,2009.0,5
660,Microbiology: Conductive consortia.,26490616,2011.0,6
661,Microbiology: Electrical signalling goes bacterial.,26503058,2003.0,2
662,Microbiology: Exclusive networks in the sea.,26017309,2011.0,2
663,Microbiology: How bacteria get spacers from invaders.,25707799,2012.0,5
664,Microbiology: Inflammatory evidence.,26672786,2010.5,3
665,Microbiology: Malaria runs rings round artemisinin.,25874678,2010.5,4
666,Microbiology: Microbiome studies need local leaders.,26632579,2015.0,0
667,Microbiology: Taking the bad with the good.,25992542,2002.0,2
668,Microbiome: Microbial mystery.,25970451,2014.0,4
669,Microbiome: The puzzle in a bee's gut.,25992673,2011.0,1
670,Microbiomes: Curating communities from plants.,26633626,2014.0,4
671,Microenvironment-induced PTEN loss by exosomal microRNA primes brain metastasis outgrowth.,26479035,2011.0,303
672,Micromanagement with light.,26659189,2013.0,2
673,Microscopy: access to the bigger picture in histology.,25788085,2006.0,0
674,Migratory neuronal progenitors arise from the neural plate borders in tunicates,26524532,2007.0,32
675,Mistargeted mitochondrial proteins activate a proteostatic response in the cytosol.,26245374,2009.0,90
676,Mitochondrial DNA stress primes the antiviral innate immune response,25642965,2010.0,271
677,Mobility: a strategic move.,26065302,2012.0,0
678,Modulation of hydrophobic interactions by proximally immobilized ions.,25592540,2006.0,35
679,Molecular basis for 5-carboxycytosine recognition by RNA polymerase II elongation complex,26123024,2011.0,65
680,Molecular basis of ligand recognition and transport by glucose transporters,26176916,2003.0,87
681,Molecular biology: DNA repair without flipping out.,26524524,2005.0,1
682,Molecular biology: Marked progress.,26580160,2014.0,2
683,Molecular biology: Mediating transcription and RNA export.,26450052,2012.0,1
684,Molecular biology: RNA modification does a regulatory two-step.,25719665,2014.0,5
685,Molecular biology: Rap and chirp about X inactivation.,25971508,2012.0,5
686,Molecular biology: Splicing does the two-step.,25970243,2011.0,4
687,Molecular structures of unbound and transcribing RNA polymerase III.,26605533,2010.0,61
688,Monolayer semiconductor nanocavity lasers with ultralow thresholds.,25778703,2012.5,75
689,Multi-gigaelectronvolt acceleration of positrons in a self-loaded plasma wakefield.,26310764,2003.0,9
690,Multimetallic catalysed cross-coupling of aryl bromides with aryl triflates.,26280337,2008.0,34
691,Multiple complexation of CO and related ligands to a main-group element.,26085273,2010.5,72
692,Multiple mechanisms for CRISPR-Cas inhibition by anti-CRISPR proteins,26416740,2012.0,91
693,Mutant MHC class II epitopes drive therapeutic immune responses to cancer.,25901682,2012.5,273
694,Mutational technologies: Engage public in gene-editing policy.,25993948,2015.0,1
695,Mutations driving CLL and their evolution in progression and relapse.,26466571,2012.0,254
696,Mutations in DCHS1 cause mitral valve prolapse,26258302,2008.0,32
697,Myeloid disease: Another action of a thalidomide derivative.,26131932,2014.0,3
698,N(6)-methyladenosine-dependent RNA structural switches regulate RNA-protein interactions,25719671,2012.0,287
699,N6-methyladenosine marks primary microRNAs for processing,25799998,2008.5,173
700,NIK1-mediated translation suppression functions as a plant antiviral immunity mechanism,25707794,2008.0,40
701,Nanoparticle biointerfacing by platelet membrane cloaking.,26374997,2010.0,198
702,Nanophotonics: bright future for hyperbolic chips.,26062504,2007.0,1
703,Nanoscale intimacy in bifunctional catalysts for selective conversion of hydrocarbons,26659185,2013.0,24
704,Nanoscale locomotion without fuel,25739625,2013.0,2
705,Nanostructure surveys of macroscopic specimens by small-angle scattering tensor tomography.,26581291,2009.0,22
706,Nanotechnology: Platelet mimicry.,26375011,2013.0,4
707,Nanotubes mediate niche-stem-cell signalling in the Drosophila testis.,26131929,2006.0,55
708,Native structure of photosystem II at 1.95 Å resolution viewed by femtosecond X-ray pulses,25470056,2010.5,231
709,Negative refractive index and acoustic superlens from multiple scattering in single negative metamaterials.,26333466,2006.0,35
710,Neonicotinoid pesticide exposure impairs crop pollination services provided by bumblebees.,26580009,2013.0,51
711,Nervous system disorders across the life course in resource-limited settings.,26580323,2010.0,10
712,Network evolution hinges on history,26153857,2011.0,3
713,Network science: Destruction perfected.,26245576,2014.0,6
714,Network-analysis-guided synthesis of weisaconitine D and liljestrandinine.,26675722,2008.5,20
715,Neural dynamics for landmark orientation and angular path integration,25971509,2010.0,119
716,Neuroanatomy: Forgotten findings of brain lymphatics.,26310754,2015.0,6
717,Neurobiology: Individuality sniffed out in flies.,26416743,2012.5,1
718,Neurobiology: Inversion in the worm,26135446,1998.0,0
719,Neurodegeneration: Aggregates feel the strain.,26061764,2013.0,4
720,Neurodegeneration: Amyloid-β pathology induced in humans.,26354478,2012.5,15
721,Neurodegeneration: Cold shock protects the brain.,25607369,2007.5,3
722,Neurodegeneration: Problems at the nuclear pore.,26308896,2014.0,5
723,Neurodevelopmental disease: A molecular tightrope.,26432241,2010.0,2
724,Neurons for hunger and thirst transmit a negative-valence teaching signal.,25915020,2009.5,155
725,Neuroscience: Binge drinking and brain stress systems.,25855451,2005.0,2
726,Neuroscience: Connectomes make the map.,26432252,2013.0,4
727,Neuroscience: Decrypting a brain enigma.,26469036,2008.0,1
